,id_student,id_course,average,bac_average,status
0,14011097102,His-s,7.0,10.62,Admis/Dettes
1,14011097242,His-s,10.0,10.25,Admis/Session1
2,14011097416,His-s,11.0,10.88,Ajourné
3,14011097462,His-s,7.0,10.93,Admis/Session1
4,14011097464,His-s,10.0,10.52,Ajourné
5,14011097484,His-s,10.0,10.74,Admis/Session2
6,14011097494,His-s,10.0,10.06,Admis/Session1
7,14011097543,His-s,11.0,10.88,Admis/Dettes
8,14011097551,His-s,6.0,10.28,Admis/Session1
9,14011097571,His-s,3.0,10.0,Ajourné
10,14011097609,His-s,6.0,10.8,Ajourné
