,id_student,id_course,average,bac_average,status
0,14011198194,STRM,12.37,13.08,Admis/Session1
1,14011198217,STRM,6.7,13.54,Admis/Dettes
2,14011198259,STRM,11.7,13.64,Admis/Session2
3,14011198335,STRM,8.71,13.66,Admis/Session1
4,14011198436,STRM,7.34,13.57,Admis/Dettes
5,14011298617,STRM,9.7,13.12,Admis/Dettes
6,14011298637,STRM,10.4,13.54,Admis/Session1
7,14011298676,STRM,18.66,13.21,Admis/Session1
8,14011298682,STRM,12.82,13.64,Admis/Session1
9,14011298686,STRM,14.7,13.95,Admis/Session1
10,14011298696,STRM,11.68,13.42,Admis/Session2
11,14011298705,STRM,14.37,13.02,Admis/Session1
12,14011298711,STRM,14.35,13.04,Admis/Session1
13,14011298770,STRM,8.68,13.01,Admis/Session2
14,14011298798,STRM,8.73,13.37,Admis/Session1
15,14011298838,STRM,7.2,13.4,Admis/Session1
16,14011298895,STRM,11.7,13.09,Admis/Session1
17,14011298979,STRM,14.0,13.75,Admis/Session1
18,14011299038,STRM,6.35,13.87,Admis/Session2
19,14011299066,STRM,9.35,13.5,Admis/Session2
20,14011299116,STRM,14.17,13.49,Admis/Session1
21,14011299136,STRM,7.53,13.57,Admis/Session1
22,14011299173,STRM,11.65,13.22,Admis/Session2
23,14011299174,STRM,10.34,13.15,Admis/Session1
