,id_student,id_course,average,bac_average,status
0,14011198194,ALG1,4.73,13.08,Admis/Session1
1,14011198217,ALG1,6.7,13.54,Admis/Dettes
2,14011198259,ALG1,8.85,13.64,Admis/Session2
3,14011198335,ALG1,6.87,13.66,Admis/Session1
4,14011198436,ALG1,0.66,13.57,Admis/Dettes
5,14011298617,ALG1,5.0,13.12,Admis/Dettes
6,14011298637,ALG1,9.06,13.54,Admis/Session1
7,14011298676,ALG1,17.99,13.21,Admis/Session1
8,14011298682,ALG1,10.96,13.64,Admis/Session1
9,14011298686,ALG1,19.0,13.95,Admis/Session1
10,14011298696,ALG1,6.04,13.42,Admis/Session2
11,14011298705,ALG1,11.54,13.02,Admis/Session1
12,14011298711,ALG1,11.25,13.04,Admis/Session1
13,14011298770,ALG1,7.36,13.01,Admis/Session2
14,14011298798,ALG1,10.03,13.37,Admis/Session1
15,14011298838,ALG1,5.72,13.4,Admis/Session1
16,14011298895,ALG1,14.7,13.09,Admis/Session1
17,14011298979,ALG1,10.68,13.75,Admis/Session1
18,14011299038,ALG1,5.71,13.87,Admis/Session2
19,14011299066,ALG1,7.33,13.5,Admis/Session2
20,14011299116,ALG1,10.03,13.49,Admis/Session1
21,14011299136,ALG1,11.68,13.57,Admis/Session1
22,14011299173,ALG1,11.98,13.22,Admis/Session2
23,14011299174,ALG1,4.72,13.15,Admis/Session1
