,id_student,id_course,average,bac_average,status
0,14010996922,Elect,10.0,11.11,Ajourné
1,14011097177,Elect,8.68,11.37,Ajourné
2,14011097195,Elect,8.69,11.32,Admis/Session2
3,14011097274,Elect,10.06,11.42,Ajourné
4,14011097290,Elect,7.38,11.38,Admis/Session2
5,14011097377,Elect,6.27,11.04,Admis/Dettes
6,14011097400,Elect,13.67,11.73,Admis/Session2
7,14011097401,Elect,14.0,11.21,Admis/Session2
8,14011097402,Elect,9.34,11.21,Admis/Session2
9,14011097458,Elect,11.36,11.63,Admis/Session1
10,14011097473,Elect,11.02,11.7,Admis/Dettes
11,14011097482,Elect,14.0,11.38,Admis/Session1
12,14011097486,Elect,5.4,11.5,Admis/Dettes
13,14011097534,Elect,11.36,11.39,Admis/Dettes
14,14011097588,Elect,11.36,11.68,Ajourné
15,14011097615,Elect,11.7,11.33,Admis/Dettes
16,14011097629,Elect,12.98,11.84,Admis/Session1
17,14011097632,Elect,11.36,11.28,Admis/Session2
