,id_student,id_course,average,bac_average,status
0,14011198194,Elect,9.05,13.08,Admis/Session1
1,14011198217,Elect,10.02,13.54,Admis/Dettes
2,14011198259,Elect,8.68,13.64,Admis/Session2
3,14011198335,Elect,11.66,13.66,Admis/Session1
4,14011198436,Elect,10.02,13.57,Admis/Dettes
5,14011298617,Elect,12.84,13.12,Admis/Dettes
6,14011298637,Elect,12.68,13.54,Admis/Session1
7,14011298676,Elect,19.49,13.21,Admis/Session1
8,14011298682,Elect,15.36,13.64,Admis/Session1
9,14011298686,Elect,17.69,13.95,Admis/Session1
10,14011298696,Elect,10.02,13.42,Admis/Session2
11,14011298705,Elect,15.94,13.02,Admis/Session1
12,14011298711,Elect,13.01,13.04,Admis/Session1
13,14011298770,Elect,13.02,13.01,Admis/Session2
14,14011298798,Elect,7.5,13.37,Admis/Session1
15,14011298838,Elect,13.1,13.4,Admis/Session1
16,14011298895,Elect,18.65,13.09,Admis/Session1
17,14011298979,Elect,19.66,13.75,Admis/Session1
18,14011299038,Elect,15.75,13.87,Admis/Session2
19,14011299066,Elect,9.2,13.5,Admis/Session2
20,14011299116,Elect,13.56,13.49,Admis/Session1
21,14011299136,Elect,12.5,13.57,Admis/Session1
22,14011299173,Elect,10.98,13.22,Admis/Session2
23,14011299174,Elect,17.5,13.15,Admis/Session1
