,id_student,id_course,average,bac_average,status
0,14011097122,Mecaq,9.02,14.38,Admis/Session1
1,14011097185,Mecaq,8.4,14.71,Admis/Session1
2,14011097193,Mecaq,9.05,14.13,Admis/Session1
3,14011097248,Mecaq,12.36,14.68,Admis/Session1
4,14011097256,Mecaq,7.89,14.35,Admis/Session1
5,14011097266,Mecaq,9.02,14.8,Admis/Dettes
6,14011097330,Mecaq,7.7,14.15,Admis/Session1
7,14011097354,Mecaq,11.35,14.04,Admis/Session1
8,14011097368,Mecaq,10.34,14.39,Admis/Session1
9,14011097527,Mecaq,14.34,14.75,Admis/Session1
10,14011097549,Mecaq,10.36,14.42,Admis/Session1
11,14011097631,Mecaq,11.7,14.15,Admis/Session1
