,id_student,id_course,average,bac_average,status
0,14010996905,Tecw,11.0,11.86,Admis/Session2
1,14010996922,Tecw,10.0,11.11,Ajourné
2,14011097177,Tecw,10.0,11.37,Ajourné
3,14011097195,Tecw,17.0,11.32,Admis/Session2
4,14011097274,Tecw,13.5,11.42,Ajourné
5,14011097290,Tecw,12.5,11.38,Admis/Session2
6,14011097377,Tecw,10.0,11.04,Admis/Dettes
7,14011097400,Tecw,13.0,11.73,Admis/Session2
8,14011097401,Tecw,17.0,11.21,Admis/Session2
9,14011097402,Tecw,13.0,11.21,Admis/Session2
10,14011097458,Tecw,17.0,11.63,Admis/Session1
11,14011097473,Tecw,14.5,11.7,Admis/Dettes
12,14011097482,Tecw,13.5,11.38,Admis/Session1
13,14011097486,Tecw,13.5,11.5,Admis/Dettes
14,14011097534,Tecw,16.0,11.39,Admis/Dettes
15,14011097588,Tecw,12.5,11.68,Ajourné
16,14011097615,Tecw,17.0,11.33,Admis/Dettes
17,14011097629,Tecw,14.5,11.84,Admis/Session1
18,14011097632,Tecw,10.0,11.28,Admis/Session2
