,id_student,id_course,average,bac_average,status
0,14010996922,ALG1,3.3,11.11,Admis/Dettes
1,14011097177,ALG1,3.04,11.37,Admis/Dettes
2,14011097274,ALG1,6.22,11.42,Admis/Session1
3,14011097588,ALG1,8.68,11.68,Admis/Session1
4,14011197866,ALG1,11.83,11.25,Admis/Session1
5,14011197999,ALG1,7.38,11.66,Admis/Session1
6,14011198010,ALG1,6.7,11.48,Admis/Session2
7,14011198070,ALG1,5.23,11.58,Ajourné
8,14011198091,ALG1,5.88,11.44,Admis/Session2
9,14011198180,ALG1,8.86,11.85,Ajourné
10,14011198183,ALG1,6.06,11.79,Ajourné
11,14011198267,ALG1,6.23,11.82,Admis/Session1
12,14011198389,ALG1,3.74,11.77,Ajourné
13,14011198392,ALG1,2.31,11.35,Admis/Session2
14,14011198396,ALG1,6.87,11.72,Admis/Dettes
15,14011198407,ALG1,6.06,11.57,Ajourné
16,14011198419,ALG1,7.87,11.29,Admis/Dettes
17,14011198445,ALG1,4.23,11.13,Ajourné
18,14011198452,ALG1,7.04,11.95,Admis/Session2
19,14011198474,ALG1,6.56,11.43,Ajourné
20,14011198480,ALG1,6.22,11.5,Admis/Session2
21,14011198503,ALG1,6.87,11.17,Admis/Session1
22,14011198512,ALG1,4.72,11.89,Ajourné
23,14011198520,ALG1,10.35,11.99,Admis/Session1
24,14011198521,ALG1,5.4,11.55,Ajourné
25,14011198526,ALG1,1.49,11.92,Admis/Session2
26,14011198528,ALG1,8.71,11.82,Admis/Session2
27,14011198539,ALG1,4.07,11.5,Ajourné
28,14011198544,ALG1,5.22,11.65,Admis/Dettes
29,14011198566,ALG1,4.72,11.13,Ajourné
30,14011198577,ALG1,6.05,11.71,Admis/Session2
31,14011198583,ALG1,6.72,11.44,Admis/Session1
32,14011198585,ALG1,6.4,11.76,Admis/Dettes
33,14011198588,ALG1,6.22,11.99,Admis/Session1
34,14011198597,ALG1,4.56,11.07,Ajourné
