,id_student,id_course,average,bac_average,status
0,14011097122,ALG1,6.55,14.38,Admis/Session1
1,14011097185,ALG1,8.2,14.71,Admis/Session1
2,14011097193,ALG1,11.34,14.13,Admis/Session1
3,14011097248,ALG1,13.19,14.68,Admis/Session1
4,14011097256,ALG1,6.55,14.35,Admis/Session1
5,14011097266,ALG1,7.83,14.8,Admis/Dettes
6,14011097330,ALG1,9.53,14.15,Admis/Session1
7,14011097354,ALG1,14.0,14.04,Admis/Session1
8,14011097368,ALG1,10.19,14.39,Admis/Session1
9,14011097527,ALG1,14.68,14.75,Admis/Session1
10,14011097549,ALG1,10.68,14.42,Admis/Session1
11,14011097631,ALG1,8.21,14.15,Admis/Session1
