,id_student,id_course,average,bac_average,status
0,14011097150,Mecaq,5.06,12.13,Ajourné
1,14011097152,Mecaq,10.38,12.21,Admis/Session1
2,14011097276,Mecaq,5.9,12.21,Ajourné
3,14011097292,Mecaq,7.04,12.92,Admis/Session1
4,14011097372,Mecaq,9.85,12.4,Admis/Session1
5,14011097420,Mecaq,10.85,12.48,Admis/Session1
6,14011097422,Mecaq,7.04,12.59,Admis/Session1
7,14011097436,Mecaq,11.66,12.76,Admis/Session1
8,14011097441,Mecaq,6.89,12.78,Admis/Session1
9,14011097456,Mecaq,5.38,12.21,Admis/Session2
10,14011097471,Mecaq,9.7,12.49,Admis/Session2
11,14011097478,Mecaq,7.04,12.42,Ajourné
12,14011097496,Mecaq,12.68,12.55,Admis/Session2
13,14011097505,Mecaq,11.03,12.7,Admis/Session1
14,14011097564,Mecaq,9.36,12.85,Admis/Session1
15,14011097593,Mecaq,9.7,12.79,Admis/Session1
16,14011097599,Mecaq,11.28,12.75,Admis/Session2
17,14011097634,Mecaq,11.02,12.78,Ajourné
