,id_student,id_course,average,bac_average,status
0,14011198070,Algé2,9.02,11.58,Admis/Session1
1,14011198180,Algé2,6.55,11.85,Admis/Session1
2,14011198183,Algé2,6.06,11.79,Admis/Dettes
3,14011198389,Algé2,4.72,11.77,Admis/Dettes
4,14011198407,Algé2,6.71,11.57,Admis/Dettes
5,14011198445,Algé2,4.06,11.13,Admis/Dettes
6,14011198474,Algé2,5.73,11.43,Admis/Dettes
7,14011198512,Algé2,8.23,11.89,Admis/Dettes
8,14011198521,Algé2,8.45,11.55,Admis/Session2
9,14011198539,Algé2,8.95,11.5,Admis/Session1
10,14011198566,Algé2,6.04,11.13,Admis/Dettes
11,14011198597,Algé2,8.05,11.07,Admis/Session2
12,14011298620,Algé2,8.35,11.37,Admis/Session2
13,14011298622,Algé2,10.03,11.07,Admis/Session1
14,14011298636,Algé2,6.71,11.43,Admis/Session1
15,14011298641,Algé2,5.22,11.86,Admis/Dettes
16,14011298670,Algé2,9.36,11.26,Admis/Session1
17,14011298695,Algé2,6.37,11.19,Admis/Dettes
18,14011298765,Algé2,4.06,11.99,Admis/Session2
19,14011298834,Algé2,6.38,11.22,Admis/Session2
20,14011298877,Algé2,6.74,11.88,Admis/Dettes
21,14011298885,Algé2,6.88,11.49,Admis/Dettes
22,14011298977,Algé2,8.86,11.27,Admis/Session2
23,14011298981,Algé2,7.7,11.47,Admis/Dettes
24,14011299015,Algé2,8.36,11.49,Admis/Dettes
25,14011299032,Algé2,8.85,11.72,Admis/Session1
26,14011299080,Algé2,7.69,11.29,Admis/Dettes
27,14011299127,Algé2,6.37,11.35,Admis/Session1
28,14011299146,Algé2,10.0,11.14,Admis/Session2
29,14011299188,Algé2,10.68,11.67,Admis/Session1
