,id_student,id_course,average,bac_average,status
0,14011097478,Analy,9.7,12.42,Admis/Session1
1,14011197960,Analy,7.71,12.98,Admis/Session2
2,14011198053,Analy,8.72,12.44,Admis/Session1
3,14011198087,Analy,5.74,12.13,Admis/Dettes
4,14011198125,Analy,7.71,12.2,Admis/Dettes
5,14011198166,Analy,5.39,12.25,Admis/Session1
6,14011198334,Analy,13.67,12.44,Admis/Session2
7,14011198576,Analy,10.19,12.23,Admis/Dettes
8,14011298615,Analy,6.47,12.13,Admis/Session2
9,14011298631,Analy,9.36,12.67,Admis/Session1
10,14011298667,Analy,7.86,12.45,Admis/Session1
11,14011298672,Analy,8.11,12.94,Admis/Session2
12,14011298683,Analy,6.72,12.6,Admis/Dettes
13,14011298688,Analy,6.66,12.82,Admis/Dettes
14,14011298704,Analy,7.88,12.64,Admis/Session1
15,14011298763,Analy,5.55,12.79,Admis/Dettes
16,14011298766,Analy,7.55,12.19,Admis/Session2
17,14011298787,Analy,10.69,12.34,Admis/Session1
18,14011298818,Analy,5.72,12.48,Admis/Dettes
19,14011298879,Analy,7.94,12.35,Admis/Dettes
20,14011298925,Analy,10.35,12.57,Admis/Session1
21,14011298927,Analy,10.78,12.7,Admis/Session1
22,14011298935,Analy,12.03,12.82,Admis/Session1
23,14011299024,Analy,10.37,12.68,Admis/Session1
24,14011299190,Analy,8.21,12.35,Admis/Dettes
25,14011299212,Analy,8.38,12.12,Admis/Dettes
26,14011299215,Analy,10.02,12.13,Admis/Dettes
27,14011299234,Analy,14.0,12.91,Admis/Dettes
