,id_student,id_course,average,bac_average,status
0,14011097122,STRM,10.84,14.38,Admis/Session1
1,14011097185,STRM,11.65,14.71,Admis/Session1
2,14011097193,STRM,13.75,14.13,Admis/Session1
3,14011097248,STRM,10.02,14.68,Admis/Session1
4,14011097256,STRM,12.99,14.35,Admis/Session1
5,14011097266,STRM,10.66,14.8,Admis/Dettes
6,14011097330,STRM,10.33,14.15,Admis/Session1
7,14011097354,STRM,10.81,14.04,Admis/Session1
8,14011097368,STRM,10.02,14.39,Admis/Session1
9,14011097527,STRM,13.34,14.75,Admis/Session1
10,14011097549,STRM,10.21,14.42,Admis/Session1
11,14011097631,STRM,11.66,14.15,Admis/Session1
