,id_student,id_course,average,bac_average,status
0,14010996905,CF,8.57,11.86,Admis/Session2
1,14010996922,CF,10.0,11.11,Ajourné
2,14011097177,CF,0.68,11.37,Ajourné
3,14011097195,CF,9.74,11.32,Admis/Session2
4,14011097274,CF,9.37,11.42,Ajourné
5,14011097290,CF,13.73,11.38,Admis/Session2
6,14011097377,CF,11.02,11.04,Admis/Dettes
7,14011097400,CF,6.96,11.73,Admis/Session2
8,14011097401,CF,10.7,11.21,Admis/Session2
9,14011097402,CF,11.34,11.21,Admis/Session2
10,14011097458,CF,12.04,11.63,Admis/Session1
11,14011097473,CF,11.09,11.7,Admis/Dettes
12,14011097482,CF,9.69,11.38,Admis/Session1
13,14011097486,CF,13.07,11.5,Admis/Dettes
14,14011097534,CF,13.03,11.39,Admis/Dettes
15,14011097588,CF,10.7,11.68,Ajourné
16,14011097615,CF,13.04,11.33,Admis/Dettes
17,14011097629,CF,12.36,11.84,Admis/Session1
18,14011097632,CF,11.04,11.28,Admis/Session2
