,id_student,id_course,average,bac_average,status
0,14011198043,Analy,6.72,10.78,Admis/Dettes
1,14011198397,Analy,7.72,10.99,Admis/Session2
2,14011198494,Analy,6.06,10.97,Admis/Dettes
3,14011198524,Analy,8.37,10.97,Admis/Session1
4,14011298627,Analy,12.68,10.85,Admis/Session1
5,14011298645,Analy,10.29,10.36,Admis/Session2
6,14011298662,Analy,10.35,10.69,Admis/Session1
7,14011298668,Analy,10.34,10.6,Admis/Session2
8,14011298687,Analy,6.72,10.55,Admis/Session2
9,14011298700,Analy,10.7,10.39,Admis/Session1
10,14011298706,Analy,8.54,10.19,Admis/Session2
11,14011298710,Analy,7.73,10.18,Admis/Session1
12,14011298764,Analy,9.04,10.38,Admis/Session1
13,14011298807,Analy,10.19,10.63,Admis/Dettes
14,14011298861,Analy,5.06,10.88,Admis/Dettes
15,14011299180,Analy,10.36,10.0,Admis/Session2
