,id_student,id_course,average,bac_average,status
0,14011097122,info,9.0,14.38,Admis/Session1
1,14011097185,info,11.13,14.71,Admis/Session1
2,14011097193,info,14.38,14.13,Admis/Session1
3,14011097248,info,14.82,14.68,Admis/Session1
4,14011097256,info,11.25,14.35,Admis/Session1
5,14011097266,info,5.5,14.8,Admis/Dettes
6,14011097330,info,8.88,14.15,Admis/Session1
7,14011097354,info,15.13,14.04,Admis/Session1
8,14011097368,info,8.44,14.39,Admis/Session1
9,14011097527,info,12.69,14.75,Admis/Session1
10,14011097549,info,10.25,14.42,Admis/Session1
11,14011097631,info,10.07,14.15,Admis/Session1
