,id_student,id_course,average,bac_average,status
0,14011198043,His-s,10.0,10.78,Admis/Dettes
1,14011198397,His-s,8.0,10.99,Admis/Session2
2,14011198494,His-s,5.0,10.97,Admis/Dettes
3,14011198524,His-s,10.0,10.97,Admis/Session1
4,14011298627,His-s,10.0,10.85,Admis/Session1
5,14011298645,His-s,10.0,10.36,Admis/Session2
6,14011298662,His-s,7.0,10.69,Admis/Session1
7,14011298668,His-s,5.0,10.6,Admis/Session2
8,14011298687,His-s,8.0,10.55,Admis/Session2
9,14011298700,His-s,10.0,10.39,Admis/Session1
10,14011298706,His-s,8.0,10.19,Admis/Session2
11,14011298710,His-s,13.0,10.18,Admis/Session1
12,14011298764,His-s,15.5,10.38,Admis/Session1
13,14011298807,His-s,10.0,10.63,Admis/Dettes
14,14011298861,His-s,6.0,10.88,Admis/Dettes
15,14011299180,His-s,14.0,10.0,Admis/Session2
