,id_student,id_course,average,bac_average,status
0,14011198194,Mecaq,6.72,13.08,Admis/Session1
1,14011198217,Mecaq,7.36,13.54,Admis/Dettes
2,14011198259,Mecaq,3.4,13.64,Admis/Session2
3,14011198335,Mecaq,7.27,13.66,Admis/Session1
4,14011198436,Mecaq,8.86,13.57,Admis/Dettes
5,14011298617,Mecaq,5.38,13.12,Admis/Dettes
6,14011298637,Mecaq,5.72,13.54,Admis/Session1
7,14011298676,Mecaq,19.16,13.21,Admis/Session1
8,14011298682,Mecaq,7.04,13.64,Admis/Session1
9,14011298686,Mecaq,11.02,13.95,Admis/Session1
10,14011298696,Mecaq,9.55,13.42,Admis/Session2
11,14011298705,Mecaq,5.38,13.02,Admis/Session1
12,14011298711,Mecaq,5.38,13.04,Admis/Session1
13,14011298770,Mecaq,8.68,13.01,Admis/Session2
14,14011298798,Mecaq,10.38,13.37,Admis/Session1
15,14011298838,Mecaq,10.04,13.4,Admis/Session1
16,14011298895,Mecaq,7.04,13.09,Admis/Session1
17,14011298979,Mecaq,12.68,13.75,Admis/Session1
18,14011299038,Mecaq,11.02,13.87,Admis/Session2
19,14011299066,Mecaq,8.68,13.5,Admis/Session2
20,14011299116,Mecaq,10.08,13.49,Admis/Session1
21,14011299136,Mecaq,5.38,13.57,Admis/Session1
22,14011299173,Mecaq,12.04,13.22,Admis/Session2
23,14011299174,Mecaq,8.88,13.15,Admis/Session1
