,id_student,id_course,average,bac_average,status
0,14010996922,Analy,9.34,11.11,Admis/Dettes
1,14011097177,Analy,11.36,11.37,Admis/Dettes
2,14011097274,Analy,11.35,11.42,Admis/Session1
3,14011097588,Analy,13.02,11.68,Admis/Session1
4,14011197866,Analy,10.36,11.25,Admis/Session1
5,14011197999,Analy,9.38,11.66,Admis/Session1
6,14011198010,Analy,10.34,11.48,Admis/Session2
7,14011198070,Analy,7.38,11.58,Ajourné
8,14011198091,Analy,8.22,11.44,Admis/Session2
9,14011198180,Analy,7.55,11.85,Ajourné
10,14011198183,Analy,5.39,11.79,Ajourné
11,14011198267,Analy,8.04,11.82,Admis/Session1
12,14011198389,Analy,4.59,11.77,Ajourné
13,14011198392,Analy,11.02,11.35,Admis/Session2
14,14011198396,Analy,8.22,11.72,Admis/Dettes
15,14011198407,Analy,7.54,11.57,Ajourné
16,14011198419,Analy,8.55,11.29,Admis/Dettes
17,14011198445,Analy,8.21,11.13,Ajourné
18,14011198452,Analy,9.01,11.95,Admis/Session2
19,14011198474,Analy,7.06,11.43,Ajourné
20,14011198480,Analy,9.69,11.5,Admis/Session2
21,14011198503,Analy,9.55,11.17,Admis/Session1
22,14011198512,Analy,6.72,11.89,Ajourné
23,14011198520,Analy,8.4,11.99,Admis/Session1
24,14011198521,Analy,7.71,11.55,Ajourné
25,14011198526,Analy,11.04,11.92,Admis/Session2
26,14011198528,Analy,9.7,11.82,Admis/Session2
27,14011198539,Analy,7.74,11.5,Ajourné
28,14011198544,Analy,9.7,11.65,Admis/Dettes
29,14011198566,Analy,6.72,11.13,Ajourné
30,14011198577,Analy,12.01,11.71,Admis/Session2
31,14011198583,Analy,6.74,11.44,Admis/Session1
32,14011198585,Analy,10.35,11.76,Admis/Dettes
33,14011198588,Analy,8.38,11.99,Admis/Session1
34,14011198597,Analy,9.36,11.07,Ajourné
