,id_student,id_course,average,bac_average,status
0,14011197816,Algé2,8.02,14.54,Admis/Session1
1,14011197923,Algé2,12.25,14.27,Admis/Session1
2,14011198041,Algé2,9.29,14.19,Admis/Session1
3,14011198101,Algé2,9.94,14.77,Admis/Session1
4,14011198103,Algé2,8.3,14.07,Admis/Session1
5,14011198136,Algé2,11.5,14.7,Admis/Session1
6,14011198216,Algé2,13.34,14.09,Admis/Session1
7,14011198466,Algé2,9.94,14.2,Admis/Session1
8,14011198477,Algé2,9.78,14.6,Admis/Session1
9,14011198487,Algé2,9.53,14.22,Admis/Dettes
10,14011198497,Algé2,13.17,14.15,Admis/Session1
11,14011198515,Algé2,7.38,14.15,Admis/Session2
12,14011198581,Algé2,7.71,14.25,Admis/Session1
