,id_student,id_course,average,bac_average,status
0,14011197816,Mecaq,10.04,14.54,Admis/Session1
1,14011197923,Mecaq,8.54,14.27,Admis/Session1
2,14011198041,Mecaq,10.04,14.19,Admis/Session1
3,14011198101,Mecaq,10.04,14.77,Admis/Session1
4,14011198103,Mecaq,9.06,14.07,Admis/Session1
5,14011198136,Mecaq,10.05,14.7,Admis/Session1
6,14011198216,Mecaq,12.03,14.09,Admis/Session1
7,14011198466,Mecaq,6.08,14.2,Admis/Session1
8,14011198477,Mecaq,7.91,14.6,Admis/Session1
9,14011198487,Mecaq,5.75,14.22,Admis/Dettes
10,14011198497,Mecaq,11.02,14.15,Admis/Session1
11,14011198515,Mecaq,7.36,14.15,Admis/Session2
12,14011198581,Mecaq,10.38,14.25,Admis/Session1
