,id_student,id_course,average,bac_average,status
0,14010996892,Algé2,7.54,10.22,Admis/Dettes
1,14010996947,Algé2,10.66,10.66,Admis/Dettes
2,14011097102,Algé2,9.02,10.62,Admis/Dettes
3,14011097242,Algé2,8.38,10.25,Admis/Session1
4,14011097416,Algé2,8.68,10.88,Ajourné
5,14011097462,Algé2,9.01,10.93,Admis/Session1
6,14011097464,Algé2,8.7,10.52,Ajourné
7,14011097484,Algé2,9.17,10.74,Admis/Session2
8,14011097494,Algé2,7.57,10.06,Admis/Session1
9,14011097506,Algé2,8.02,10.07,Admis/Dettes
10,14011097543,Algé2,4.72,10.88,Admis/Dettes
11,14011097551,Algé2,12.02,10.28,Admis/Session1
12,14011097571,Algé2,4.38,10.0,Ajourné
13,14011097609,Algé2,7.03,10.8,Ajourné
