,id_student,id_course,average,bac_average,status
0,14011097102,TEC1,11.0,10.62,Admis/Dettes
1,14011097242,TEC1,10.5,10.25,Admis/Session1
2,14011097416,TEC1,9.5,10.88,Ajourné
3,14011097462,TEC1,10.5,10.93,Admis/Session1
4,14011097464,TEC1,10.0,10.52,Ajourné
5,14011097484,TEC1,10.0,10.74,Admis/Session2
6,14011097494,TEC1,7.5,10.06,Admis/Session1
7,14011097543,TEC1,10.5,10.88,Admis/Dettes
8,14011097551,TEC1,7.0,10.28,Admis/Session1
9,14011097571,TEC1,9.0,10.0,Ajourné
10,14011097609,TEC1,8.0,10.8,Ajourné
