,id_student,id_course,average,bac_average,status
0,14011097203,CF,10.39,13.34,Admis/Session1
1,14011097264,CF,6.02,13.42,Admis/Session2
2,14011097544,CF,10.34,13.71,Admis/Dettes
3,14011197876,CF,12.19,13.6,Admis/Session1
4,14011197877,CF,10.35,13.28,Admis/Session1
5,14011197918,CF,15.0,13.81,Admis/Session1
6,14011197922,CF,14.19,13.39,Admis/Session1
7,14011197939,CF,11.0,13.85,Admis/Session1
8,14011197965,CF,7.72,13.71,Admis/Dettes
9,14011197979,CF,12.52,13.95,Admis/Session1
10,14011198067,CF,11.05,13.89,Admis/Session1
11,14011198153,CF,9.02,13.43,Admis/Dettes
12,14011198176,CF,7.88,13.62,Admis/Session1
13,14011198194,CF,8.85,13.08,Ajourné
14,14011198217,CF,1.33,13.54,Ajourné
15,14011198242,CF,5.38,13.25,Admis/Session1
16,14011198256,CF,8.86,13.96,Admis/Session1
17,14011198259,CF,7.02,13.64,Ajourné
18,14011198260,CF,12.55,13.3,Admis/Session1
19,14011198335,CF,10.16,13.66,Ajourné
20,14011198357,CF,12.03,13.4,Admis/Session2
21,14011198386,CF,4.83,13.37,Admis/Session1
22,14011198409,CF,10.7,13.71,Admis/Session2
23,14011198412,CF,7.23,13.38,Admis/Session1
24,14011198427,CF,8.53,13.07,Admis/Dettes
25,14011198435,CF,6.24,13.54,Admis/Session1
26,14011198436,CF,8.02,13.57,Ajourné
27,14011198438,CF,4.32,13.33,Admis/Dettes
28,14011198458,CF,10.0,13.55,Admis/Session1
29,14011198465,CF,13.02,13.17,Admis/Session1
30,14011198467,CF,7.37,13.52,Admis/Dettes
31,14011198475,CF,6.06,13.04,Admis/Session1
32,14011198476,CF,7.02,13.8,Admis/Session1
33,14011198479,CF,6.68,13.97,Admis/Dettes
34,14011198484,CF,8.38,13.25,Admis/Session1
35,14011198545,CF,11.69,13.28,Admis/Dettes
36,14011198548,CF,5.38,13.19,Admis/Session2
